timestamp,forecast_annual,realized_annual
1752019200,0.37032869,0.30899583
1752033600,0.36874173,0.30883566
1752048000,0.36990334,0.30866140
1752062400,0.37956310,0.30921895
1752076800,0.42372686,0.29969762
1752091200,0.39961588,0.29965940
1752105600,0.38430487,0.29970677
1752120000,0.37445738,0.29982896
1752134400,0.36698242,0.29994155
1752148800,0.40942138,0.29981319
1752163200,0.41963554,0.29356027
1752177600,0.45310493,0.28193425
1752192000,0.42728497,0.28703112
1752206400,0.41131203,0.28703161
1752220800,0.40064698,0.28732175
1752235200,0.39973878,0.28669147
1752249600,0.42404718,0.28466598
1752264000,0.41898985,0.28459517
1752278400,0.41549978,0.29382230
1752292800,0.41315212,0.29388661
1752307200,0.40972257,0.29509668
1752321600,0.41773095,0.29447247
